match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:30:55,xG Underperf,62,1-0,2-0,1,6.17,,1.65,Over 1.5,,,,1.24,,,,,0,0,1,0,0,away,
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:30:55,Goal Clustering,62,,2-0,1,6.17,,,,,,,,,,,4,0,0,0,0,0,,
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:42:49,Odds Drift,75,2-0,2-0,1,7.5,,,,1.79,53,,,,,,,0,0,1,0,1,home,2
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:42:49,Goal Clustering,75,,2-0,0,-10,,,,,,,,,,,4,0,0,0,0,0,,
"Internacional Se Palmeiras",internacional-se-palmeiras-apuestas-35224753,internacional-se-palmeiras-apuestas-35224753.csv,2026-02-13 00:53:56,Odds Drift,22,0-1,0-1,1,14.82,,,,2.56,36.2,,,,,,,0,0,0,0,0,away,1
"Spartak Varna Lokomotiv Sofia",spartak-varna-lokomotiv-sofia-apuestas-35239864,spartak-varna-lokomotiv-sofia-apuestas-35239864.csv,2026-02-13 16:02:04,Odds Drift,14,1-0,2-2,0,-10,,,,1.81,69.2,,,,,,,0,0,0,0,0,home,1
"Spartak Varna Lokomotiv Sofia",spartak-varna-lokomotiv-sofia-apuestas-35239864,spartak-varna-lokomotiv-sofia-apuestas-35239864.csv,2026-02-13 17:23:18,Goal Clustering,77,,2-2,1,25.17,,,,,,,,,,,5,0,0,0,0,0,,
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:35:20,Back Empate,30,,1-1,1,14.44,2.52,,,,,0,,2,5,2,,1,1,1,0,0,,
"Galatasaray Eyupspor",galatasaray-eyupspor-apuestas-35243984,galatasaray-eyupspor-apuestas-35243984.csv,2026-02-13 17:35:20,Odds Drift,33,2-0,5-1,1,8.83,,,,1.93,82.1,,,,,,,0,0,1,0,0,home,2
"Galatasaray Eyupspor",galatasaray-eyupspor-apuestas-35243984,galatasaray-eyupspor-apuestas-35243984.csv,2026-02-13 17:35:20,Goal Clustering,33,,5-1,1,2.76,,,,,,,,,,,5,0,0,0,0,0,,
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:41:23,Goal Clustering,36,,1-1,1,3.52,,,,,,,,,,,3,0,0,0,0,0,,
"Núremberg Karlsruhe",núremberg-karlsruhe-apuestas-35243488,núremberg-karlsruhe-apuestas-35243488.csv,2026-02-13 17:59:05,Goal Clustering,28,,5-1,1,5.42,,,,,,,,,,,3,0,0,0,0,0,,
"Fortuna Dusseldorf Preussen Munster",fortuna-dusseldorf-preussen-munster-apuestas-35243,fortuna-dusseldorf-preussen-munster-apuestas-35243.csv,2026-02-13 18:02:02,Back Empate,31,,0-0,1,17.67,2.86,,,,,0.51,,3,7,1,,1,1,0,0,0,,
"Galatasaray Eyupspor",galatasaray-eyupspor-apuestas-35243984,galatasaray-eyupspor-apuestas-35243984.csv,2026-02-13 18:08:03,Goal Clustering,47,,5-1,1,7.6,,,,,,,,,,,5,0,0,0,0,0,,
"Núremberg Karlsruhe",núremberg-karlsruhe-apuestas-35243488,núremberg-karlsruhe-apuestas-35243488.csv,2026-02-13 18:11:03,Goal Clustering,40,,5-1,1,14.44,,,,,,,,,,,5,0,0,0,0,0,,
"Núremberg Karlsruhe",núremberg-karlsruhe-apuestas-35243488,núremberg-karlsruhe-apuestas-35243488.csv,2026-02-13 18:14:03,Odds Drift,43,3-0,5-1,1,40.85,,,,5.3,390.7,,,,,,,0,0,1,1,0,home,3
